symbol,threshold,cost_pips,trades,coverage,selected_accuracy,mean_net_bps,sum_net_bps,net_win_rate
GBPAUD,0.55,0.0,745,0.31474440219687366,0.6093959731543624,2.5534141371685637,1902.29353219058,0.6093959731543624
GBPAUD,0.55,1.5,745,0.31474440219687366,0.6093959731543624,1.778584025176356,1325.0450987563852,0.5812080536912752
GBPAUD,0.55,3.0,745,0.31474440219687366,0.6093959731543624,1.0037539131841484,747.7966653221906,0.5449664429530201
GBPAUD,0.6,0.0,168,0.07097591888466413,0.6726190476190477,3.1528348432853384,529.6762536719368,0.6726190476190477
GBPAUD,0.6,1.5,168,0.07097591888466413,0.6726190476190477,2.381008953435026,400.0095041770844,0.6607142857142857
GBPAUD,0.6,3.0,168,0.07097591888466413,0.6726190476190477,1.6091830635847146,270.34275468223206,0.6071428571428571
GBPAUD,0.65,0.0,5,0.0021123785382340513,0.6,5.939559569417829,29.69779784708915,0.6
GBPAUD,0.65,1.5,5,0.0021123785382340513,0.6,5.171329032623151,25.856645163115758,0.6
GBPAUD,0.65,3.0,5,0.0021123785382340513,0.6,4.403098495828473,22.015492479142367,0.6
GBPAUD,0.7,0.0,2,0.0008449514152936206,0.0,-6.86281077591,-13.72562155182,0.0
GBPAUD,0.7,1.5,2,0.0008449514152936206,0.0,-7.633704104543212,-15.267408209086424,0.0
GBPAUD,0.7,3.0,2,0.0008449514152936206,0.0,-8.404597433176425,-16.80919486635285,0.0
GBPCAD,0.5,0.0,2813,1.0,0.4976892996800569,0.011593860644037859,32.6135299916785,0.49591183789548526
GBPCAD,0.5,1.5,2813,1.0,0.4976892996800569,-0.8343670187720807,-2347.0744238058633,0.4628510487024529
GBPCAD,0.5,3.0,2813,1.0,0.4976892996800569,-1.6803278981881995,-4726.762377603405,0.43014575186633486
GBPCAD,0.55,0.0,329,0.11695698542481336,0.5288753799392097,1.1588613893778128,381.2653971053004,0.5258358662613982
GBPCAD,0.55,1.5,329,0.11695698542481336,0.5288753799392097,0.31372617611136755,103.21591194063993,0.48328267477203646
GBPCAD,0.55,3.0,329,0.11695698542481336,0.5288753799392097,-0.5314090371550773,-174.83357322402043,0.44680851063829785
GBPCAD,0.6,0.0,21,0.007465339495200853,0.6666666666666666,5.652450287727116,118.70145604226943,0.6666666666666666
GBPCAD,0.6,1.5,21,0.007465339495200853,0.6666666666666666,4.814417448638183,101.10276642140184,0.6666666666666666
GBPCAD,0.6,3.0,21,0.007465339495200853,0.6666666666666666,3.9763846095492488,83.50407680053422,0.6666666666666666
GBPCAD,0.65,0.0,12,0.004265908282971916,0.6666666666666666,7.503570136353869,90.04284163624644,0.6666666666666666
GBPCAD,0.65,1.5,12,0.004265908282971916,0.6666666666666666,6.666795619880805,80.00154743856966,0.6666666666666666
GBPCAD,0.65,3.0,12,0.004265908282971916,0.6666666666666666,5.8300211034077405,69.96025324089288,0.6666666666666666
GBPCAD,0.7,0.0,6,0.002132954141485958,0.6666666666666666,8.901098950036177,53.40659370021706,0.6666666666666666
GBPCAD,0.7,1.5,6,0.002132954141485958,0.6666666666666666,8.061122529251678,48.36673517551007,0.6666666666666666
GBPCAD,0.7,3.0,6,0.002132954141485958,0.6666666666666666,7.221146108467184,43.3268766508031,0.6666666666666666
GBPCHF,0.5,0.0,1664,1.0,0.5432692307692307,0.700123457792362,1165.0054337664903,0.5420673076923077
GBPCHF,0.5,1.5,1664,1.0,0.5432692307692307,-0.6663462285282938,-1108.800124271081,0.484375
GBPCHF,0.5,3.0,1664,1.0,0.5432692307692307,-2.03281591484895,-3382.605682308653,0.421875
GBPCHF,0.55,0.0,331,0.19891826923076922,0.5921450151057401,2.0510452498862417,678.8959777123459,0.5891238670694864
GBPCHF,0.55,1.5,331,0.19891826923076922,0.5921450151057401,0.6824083371507221,225.87715959688904,0.5196374622356495
GBPCHF,0.55,3.0,331,0.19891826923076922,0.5921450151057401,-0.6862285755847976,-227.141658518568,0.44410876132930516
GBPCHF,0.6,0.0,14,0.008413461538461538,0.6428571428571429,2.8716963167852683,40.203748434993756,0.6428571428571429
GBPCHF,0.6,1.5,14,0.008413461538461538,0.6428571428571429,1.5263260458835923,21.36856464237029,0.6428571428571429
GBPCHF,0.6,3.0,14,0.008413461538461538,0.6428571428571429,0.18095577498191817,2.5333808497468544,0.5714285714285714
GBPCHF,0.65,0.0,3,0.0018028846153846155,1.0,6.626978052734304,19.880934158202912,1.0
GBPCHF,0.65,1.5,3,0.0018028846153846155,1.0,5.294149345659395,15.882448036978186,1.0
GBPCHF,0.65,3.0,3,0.0018028846153846155,1.0,3.961320638584487,11.88396191575346,0.6666666666666666
GBPCHF,0.7,0.0,0,0.0,,,0.0,
