symbol,task,horizon,bundle,model,development_balanced_accuracy,confidence_threshold,previously_inspected,accuracy_lift_ci_low,accuracy_lift_ci_high,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate,confident_n,confident_coverage,confident_accuracy,confident_positive_rate,confident_baseline_accuracy,confident_balanced_accuracy,confident_majority_accuracy
EURCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0201458839874956,0.0750260507120528,2879,0.5362973254602292,0.5335720974234717,0.5548388342391567,0.2479568227884116,0.5067731851337269,0.2499789988286039,0.4880166724557138,0.4884874359246638,0.493226814866273,2879,1.0,0.5362973254602292,0.493226814866273,0.4880166724557138,0.5335720974234717,0.5067731851337269
EURCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0066006600660066,0.0924092409240924,303,0.6534653465346535,0.5795043163464215,0.6777592128469321,0.220121644898262,0.6237623762376238,0.236805280049802,0.6105610561056105,0.5886243386243386,0.3762376237623762,202,0.6666666666666666,0.7227722772277227,0.2871287128712871,0.6683168316831684,0.5738745210727969,0.7128712871287128
EURGBP,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.029520295202952,0.0859870848708487,2710,0.5535055350553506,0.5162496471542994,0.5338704306481775,0.2463413033262208,0.4450184501845018,0.2501020544564589,0.4966789667896679,0.5030868485586253,0.4450184501845018,2710,1.0,0.5535055350553506,0.4450184501845018,0.4966789667896679,0.5162496471542994,0.44501845018450187
EURGBP,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0386842105263157,0.1018421052631578,285,0.6140350877192983,0.6349206349206349,0.684867724867725,0.2319176718566639,0.631578947368421,0.2331586044178933,0.5824561403508772,0.5603174603174603,0.3684210526315789,76,0.2666666666666666,0.7105263157894737,0.3947368421052631,0.7105263157894737,0.7434782608695653,0.6052631578947368
EURJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0042568286626463,0.0475434551259311,2819,0.5225257183398369,0.5196726473892911,0.5253644109214948,0.2493794537214956,0.5157857396239801,0.2497894959776903,0.5001773678609436,0.4988827083049917,0.5157857396239801,2819,1.0,0.5225257183398369,0.5157857396239801,0.5001773678609436,0.5196726473892911,0.5157857396239801
EURJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0168918918918918,0.1081081081081081,296,0.7094594594594594,0.6649844720496895,0.788577251552795,0.1804297816251464,0.6216216216216216,0.2352632091200907,0.6486486486486487,0.624805900621118,0.3783783783783784,166,0.5608108108108109,0.8313253012048193,0.3132530120481928,0.7650602409638554,0.7621457489878543,0.6867469879518072
EURNZD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0098039215686274,0.063367269984917,1326,0.5150829562594268,0.5026313151563753,0.5255909637675876,0.249760449923601,0.5188536953242836,0.2497134966092293,0.4894419306184012,0.4904520850040096,0.4811463046757164,1326,1.0,0.5150829562594268,0.4811463046757164,0.4894419306184012,0.5026313151563753,0.5188536953242836
EURNZD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.037781954887218,0.112781954887218,133,0.7368421052631579,0.6079244031830239,0.7536472148541115,0.1658229292356413,0.7819548872180451,0.1894631349657112,0.6992481203007519,0.6211870026525199,0.2180451127819548,70,0.5263157894736842,0.8428571428571429,0.1285714285714285,0.7571428571428571,0.5783242258652095,0.8714285714285714
EURUSD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,True,-0.0065995137200416,0.0482893365751997,2879,0.5158040986453629,0.512522001934236,0.5233718568665378,0.2499734821747874,0.4775963876345953,0.2502055270561618,0.4956582146578673,0.4968268858800774,0.4775963876345953,2879,1.0,0.5158040986453629,0.4775963876345953,0.4956582146578673,0.512522001934236,0.47759638763459533
EURUSD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,True,0.0561056105610561,0.1485148514851485,303,0.6897689768976898,0.6154343453692175,0.7041471123455608,0.2048827542863605,0.6501650165016502,0.229766103626393,0.5907590759075908,0.5545445838521215,0.3498349834983498,138,0.4554455445544554,0.8115942028985508,0.2318840579710145,0.717391304347826,0.6591981132075472,0.7681159420289855
GBPAUD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0029573299535276,0.0561892691170257,2367,0.5289395859738065,0.5082321239782368,0.5561536433935289,0.2466432451665763,0.5285171102661597,0.2497632608827125,0.5031685678073511,0.5046414481318171,0.4714828897338403,2367,1.0,0.5289395859738065,0.4714828897338403,0.5031685678073511,0.5082321239782368,0.5285171102661597
GBPAUD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0447154471544715,0.1585365853658536,246,0.7276422764227642,0.7215608465608465,0.8041593180482071,0.1896513420259709,0.6585365853658537,0.2291922469328634,0.6300813008130082,0.5958994708994709,0.3414634146341463,76,0.3089430894308943,0.9078947368421052,0.3289473684210526,0.8026315789473685,0.8803921568627451,0.6710526315789473
GBPCAD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0238268752221827,0.0348471382865268,2813,0.4976892996800569,0.5080571796911209,0.522631646053806,0.2505051151807781,0.5151084251688589,0.2499263255782957,0.492356914326342,0.491355399314726,0.5151084251688589,2813,1.0,0.4976892996800569,0.5151084251688589,0.492356914326342,0.5080571796911209,0.5151084251688589
GBPCAD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0371621621621621,0.081081081081081,296,0.6013513513513513,0.5828771929824561,0.6406549707602339,0.2288830869068388,0.5777027027027027,0.2443966266479357,0.581081081081081,0.5707134502923976,0.4222972972972973,92,0.3108108108108108,0.782608695652174,0.3695652173913043,0.6956521739130435,0.7302231237322515,0.6304347826086957
GBPCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0048076923076923,0.0757211538461538,1664,0.5432692307692307,0.5430072767192714,0.5577892427207496,0.2475316903735457,0.4825721153846153,0.2504608503308437,0.5018028846153846,0.5028956453948101,0.4825721153846153,1664,1.0,0.5432692307692307,0.4825721153846153,0.5018028846153846,0.5430072767192714,0.48257211538461536
GBPCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0,0.1479289940828402,169,0.7337278106508875,0.6984385165907612,0.7724463240078074,0.1822315833462705,0.6863905325443787,0.2152872915657736,0.6568047337278107,0.6321567989590111,0.3136094674556213,97,0.5739644970414202,0.845360824742268,0.2474226804123711,0.7938144329896907,0.7574200913242009,0.7525773195876289
GBPJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0221036585365853,0.0385003810975609,2624,0.5015243902439024,0.5016721979621543,0.5026393013100436,0.2505421918063156,0.5236280487804879,0.2496403561073996,0.493140243902439,0.4913560407569141,0.5236280487804879,2624,1.0,0.5015243902439024,0.5236280487804879,0.493140243902439,0.5016721979621543,0.5236280487804879
