task,horizon,bundle,model,accuracy,balanced_accuracy,ba_std,auc,brier,baseline_brier,majority_accuracy,persistence_balanced_accuracy,evaluations,selection_score
direction,24,context,hist_boost,0.5028676053223198,0.5025785343658837,0.01017067288902553,0.5040938635640154,0.2522100414855711,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.497493197921371
direction,24,cot_exploratory,hist_boost,0.5044998607685839,0.5040655924332184,0.013179442899682007,0.5056475281789613,0.25309787576821224,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.49747587098337737
direction,72,context,xgboost,0.5026455833097694,0.5023290595688629,0.009798239880626914,0.5020908423745273,0.25543934042424765,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.4974299396285494
direction,72,context,logistic,0.5039656090426938,0.5044409986955011,0.014968723173019179,0.5053824650628983,0.2521087052095848,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.49695663710899146
direction,72,price,xgboost,0.5011667430525446,0.5015256745628233,0.009541875767434208,0.5044922660760846,0.2514224392334675,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.49675473667910613
direction,72,context,extra_trees,0.5056099880725315,0.5053962780241701,0.017380118133096173,0.50895878748411,0.25165402378163293,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.496706218957622
direction,24,price,extra_trees,0.5007622033921335,0.501602384494973,0.009813600967906889,0.5003213265890195,0.250374306179135,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.49669558401101954
direction,24,context,xgboost,0.5038389713891213,0.503331874362057,0.013541325514043702,0.5056960294088685,0.2517675926300377,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.4965612116050351
direction,72,fomc,xgboost,0.5071156596278217,0.5065858107543234,0.020173721985187448,0.5051644695518197,0.2581744431211562,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.4964989497617297
direction,72,cot_exploratory,hist_boost,0.5094686941097918,0.5102961469380609,0.02929334217925383,0.5111598257202827,0.25832540395857106,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.495649475848434
direction,24,price,xgboost,0.5019470384273514,0.5017455843520036,0.012307558392234078,0.5008541703041811,0.25121569382317505,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.4955918051558865
direction,24,price,hist_boost,0.5024536471791909,0.5022911226727521,0.014145908146518518,0.5026967859730381,0.2512297719714981,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.49521816859949286
direction,72,cot_exploratory,catboost,0.5074507653153423,0.5084121664714802,0.02658720026865827,0.5093508471107395,0.25847741278450964,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.4951185663371511
direction,72,context,catboost,0.5030279874925555,0.5026617368542282,0.015459598815802595,0.5043444403590208,0.2545704356556373,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.4949319374463269
direction,72,context,hist_boost,0.5010717555662759,0.5007672037919951,0.013041100703487721,0.500922947501963,0.255827102039693,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.49424665344025126
direction,72,cot_exploratory,xgboost,0.504598256616129,0.505543312643569,0.02503932472910413,0.5077035675605119,0.2588159874084832,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.49302365027901696
direction,24,price,catboost,0.4997753183230024,0.4997775151369937,0.013805963032977693,0.5014131403640554,0.25070360862836366,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.4928745336205049
direction,24,price,logistic,0.49525350215016806,0.49668888134391365,0.009291999179316748,0.49321992892648625,0.25055769178311366,0.25003039968175717,0.5022234907273395,0.49808780937402036,14,0.49204288175425526
direction,72,price,logistic,0.49767047904432954,0.4981072912123487,0.013708069182003227,0.49579290314011365,0.25090247314333586,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.4912532566213471
