symbol,task,horizon,bundle,model,fold,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate
EURUSD,high_volatility,4,cot_exploratory,catboost,1,6105,0.7582309582309582,0.6261051024443687,0.8127641465980465,0.15576815033144487,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,cot_exploratory,xgboost,1,6105,0.7567567567567568,0.6250722816961475,0.812380285492348,0.15562629806710648,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,direction,24,price,logistic,0,4540,0.5033039647577092,0.5012897092651782,0.49275996618225093,0.25056523082833415,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,price,hist_boost,0,4540,0.513215859030837,0.5115031585746548,0.5206880429103449,0.2500056886182378,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,price,extra_trees,0,4540,0.5174008810572687,0.5152764073066833,0.5152896052344533,0.24992938380528112,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,price,catboost,0,4540,0.5116740088105727,0.5096560309483643,0.5125981984052245,0.25023805738636423,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,price,xgboost,0,4540,0.5055066079295154,0.5036742642737531,0.5056984964454875,0.25073088660172493,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,context,logistic,0,4540,0.49933920704845813,0.4980558287871648,0.4989336850710476,0.25201631885022385,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,context,hist_boost,0,4540,0.5050660792951542,0.503517830012243,0.5124113895011261,0.2513794067413619,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,context,extra_trees,0,4540,0.5110132158590308,0.5085363420468123,0.5062096250158181,0.25055722587581625,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,context,catboost,0,4540,0.512114537444934,0.5102084030429763,0.5164923634460876,0.25078769925872313,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,context,xgboost,0,4540,0.5090308370044053,0.507096409309663,0.5237459833659529,0.2502737160962802,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,fomc,logistic,0,4540,0.502863436123348,0.5012869920447549,0.511460071222229,0.2515294823432504,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,fomc,hist_boost,0,4540,0.5171806167400881,0.5162788675556894,0.5284254251091351,0.2504430805373979,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,fomc,extra_trees,0,4540,0.5008810572687225,0.49909710647078875,0.514477932676594,0.25042750252890267,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,fomc,catboost,0,4540,0.5006607929515419,0.4994101690809817,0.5200249440834854,0.2506905693456905,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,fomc,xgboost,0,4540,0.5204845814977973,0.5204519358642818,0.5319379177241182,0.24973768861144238,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
EURUSD,direction,24,cot_exploratory,logistic,0,4540,0.5072687224669603,0.5057346937032687,0.5173698315556242,0.25136494600294856,0.5052863436123348,0.2499741595774421,0.48325991189427314,0.48322543380424055,0.5052863436123348
