task,symbol,fold,threshold,coverage,n,accuracy,balanced_accuracy
direction,USDCAD,0,0.5,1.0,2276,0.5241652021089631,0.5191014707699914
direction,USDCAD,0,0.55,0.25746924428822493,586,0.5665529010238908,0.5480718713880425
direction,USDCAD,0,0.6,0.03163444639718805,72,0.5694444444444444,0.5
direction,USDCAD,1,0.5,1.0,3119,0.5357486373837769,0.5299259370189012
direction,USDCAD,1,0.55,0.1856364219301058,579,0.5492227979274611,0.5260158216468896
direction,USDCAD,1,0.6,0.015389547932029497,48,0.5416666666666666,0.5217391304347826
high_volatility,USDCAD,0,0.5,1.0,239,0.6108786610878661,0.5369288389513108
high_volatility,USDCAD,0,0.55,0.8158995815899581,195,0.6564102564102564,0.5423076923076923
high_volatility,USDCAD,0,0.6,0.6234309623430963,149,0.6510067114093959,0.5184612211221122
high_volatility,USDCAD,0,0.65,0.46443514644351463,111,0.7117117117117117,0.5659774436090226
high_volatility,USDCAD,0,0.7,0.3389121338912134,81,0.7037037037037037,0.5587412587412588
high_volatility,USDCAD,0,0.75,0.15481171548117154,37,0.6756756756756757,0.5854037267080745
high_volatility,USDCAD,1,0.5,1.0,328,0.7164634146341463,0.6833300492610838
high_volatility,USDCAD,1,0.55,0.7957317073170732,261,0.7739463601532567,0.7259984639016897
high_volatility,USDCAD,1,0.6,0.5152439024390244,169,0.8165680473372781,0.7492233612923268
high_volatility,USDCAD,1,0.65,0.3445121951219512,113,0.8141592920353983,0.7491531165311653
high_volatility,USDCAD,1,0.7,0.18597560975609756,61,0.8360655737704918,0.7512531328320802
high_volatility,USDCAD,1,0.75,0.09451219512195122,31,0.9032258064516129,0.7857142857142857
direction,USDCHF,0,0.5,1.0,2336,0.521404109589041,0.5215654366597763
direction,USDCHF,0,0.55,0.14897260273972604,348,0.5488505747126436,0.5358466834370449
direction,USDCHF,1,0.5,1.0,3119,0.5511381853158064,0.5487867235359989
direction,USDCHF,1,0.55,0.14780378326386662,461,0.5921908893709328,0.5398496240601504
high_volatility,USDCHF,0,0.5,1.0,246,0.5975609756097561,0.6138306674020959
high_volatility,USDCHF,0,0.55,0.7113821138211383,175,0.6228571428571429,0.6440803667745415
high_volatility,USDCHF,0,0.6,0.4878048780487805,120,0.6583333333333333,0.6774992713494608
high_volatility,USDCHF,0,0.65,0.27235772357723576,67,0.6567164179104478,0.686531007751938
high_volatility,USDCHF,0,0.7,0.13414634146341464,33,0.6666666666666666,0.6845238095238095
high_volatility,USDCHF,1,0.5,1.0,328,0.6585365853658537,0.6485097636176773
high_volatility,USDCHF,1,0.55,0.7164634146341463,235,0.7191489361702128,0.7050751879699249
high_volatility,USDCHF,1,0.6,0.47865853658536583,157,0.7834394904458599,0.7611727150537635
high_volatility,USDCHF,1,0.65,0.29573170731707316,97,0.8350515463917526,0.8089488636363636
high_volatility,USDCHF,1,0.7,0.16463414634146342,54,0.9259259259259259,0.875
high_volatility,USDCHF,1,0.75,0.09451219512195122,31,0.967741935483871,0.9375
